,tot_view,totdat_YJwordview_before_x
飛艇,1066665,4.085813773663563
扫福,1060067,4.085577240074254
探索者,1046068,4.085069307541597
花絮,1045018,4.085030871643661
簽,1032894,4.084583579428976
玩游戏,1005484,4.083547983742137
自动,1003167,4.08345884763708
驾驶,1003167,4.08345884763708
紧,1003167,4.08345884763708
断句,1000072,4.083339383911623
梗,1000072,4.083339383911623
盼,999033,4.083299177168027
上熱,993746,4.083093779958866
會後悔,992290,4.083036977926484
渤,991222,4.082995247193886
互怼,991222,4.082995247193886
洗米,987956,4.082867286953063
付款,985416,4.082767409228003
20221210,985072,4.082753858028344
打碎,979626,4.082538541518966
成吉思汗,978234,4.082483269142665
粉絲見,978234,4.082483269142665
強度,978234,4.082483269142665
汗,978234,4.082483269142665
試訓,978234,4.082483269142665
試,978234,4.082483269142665
面會,978234,4.082483269142665
閃店,978234,4.082483269142665
三月,976237,4.0824038040103785
賴,976237,4.0824038040103785
論勝敗,976237,4.0824038040103785
風傳媒,976237,4.0824038040103785
朱侯若,976237,4.0824038040103785
願望,976158,4.082400656293725
煇,963355,4.08188632750658
奢華年,962204,4.081839675546383
魚乾,962204,4.081839675546383
34540,962204,4.081839675546383
大蛇丸,962204,4.081839675546383
4180,962204,4.081839675546383
徐海,962204,4.081839675546383
企劃,962204,4.081839675546383
Joe,962204,4.081839675546383
阿達,962204,4.081839675546383
尖端,960776,4.081781700392
妙,958635,4.081694578512095
溢出,958635,4.081694578512095
水才,958635,4.081694578512095
回形针,958635,4.081694578512095
李允恩,945176,4.081141340982306
衛視,943747,4.081082030225075
舞美,943747,4.081082030225075
視聽,943747,4.081082030225075
宴,943747,4.081082030225075
燃炸,943747,4.081082030225075
宏,942750,4.0810405839147395
轟動,942196,4.081017530156029
PiMW,941352,4.080982376335779
卷,940428,4.080943845722586
20221209,940428,4.080943845722586
武艺,940428,4.080943845722586
楊盼,938955,4.080882325110808
派翠克,938826,4.080876931680997
翠,938826,4.080876931680997
20230123,938826,4.080876931680997
廊,931914,4.08058659802442
五代同堂,931914,4.08058659802442
兩會,925749,4.080325387945156
拍照,925325,4.080307344188495
姿势,925325,4.080307344188495
烧鸡,925325,4.080307344188495
姑姑,925325,4.080307344188495
春节,925325,4.080307344188495
初见,925325,4.080307344188495
手绢,925325,4.080307344188495
照相馆,925325,4.080307344188495
联欢晚会,925325,4.080307344188495
吳亦凡,925162,4.080300404837246
俄羅斯方塊,923338,4.080222649050098
20230113,920868,4.080117051749986
荳,917676,4.079980068086315
熱舞連,910643,4.07967616078466
高峰,910643,4.07967616078466
推上,910643,4.07967616078466
壓軸,910643,4.07967616078466
勁歌,910643,4.07967616078466
發將,910643,4.07967616078466
輝,910643,4.07967616078466
最高峰,910643,4.07967616078466
氣氛,910643,4.07967616078466
菲比,903132,4.079348379694716
快掉,903132,4.079348379694716
古天樂,901722,4.0792864716057355
日落,899718,4.07919827700748
追尾,895328,4.079004225283964
一動,892137,4.078862433853365
一舉,892137,4.078862433853365
到家,892137,4.078862433853365
發生過,891046,4.078813811695859
改編,890189,4.078775566515041
