,words,tot_view
898,HeadlinesTalk,22276170
899,星,22265421
900,公,22265421
901,麽,22256250
902,精神,22233304
903,戰,22211240
904,牛,22205750
905,旅,22205750
906,回家,22204098
907,EP1,22172943
908,俄,22160112
909,蔡天鳳,22159080
910,ậ,22123278
911,õ,22123278
912,陸,22111824
913,言,22111824
914,師,22003960
915,直球,21840984
916,林,21826687
917,食物,21818148
918,革命,21790488
919,hea,21769109
920,成功,21727818
921,飯,21701368
922,小姐,21645760
923,🤫,21593529
924,금,21499280
925,ww,21449397
926,恐怖,21372672
927,足球,21362103
928,謎,21329470
929,團,21329470
930,Look,21245394
931,間,21186801
932,難,21180224
933,VLOG,21152049
934,女友,21063625
935,驚,21022588
936,视频,21000814
937,短,20988286
938,酒店,20884672
939,音樂,20877825
940,台灣,20810664
941,結婚,20795539
942,穿,20789820
943,最新,20764484
944,灰姑娘,20727440
945,🧱,20656098
946,老師,20632400
947,一種,20612158
948,方式,20588330
949,約,20575140
950,LESSERAFIM,20531530
951,公開,20495685
952,真實,20431648
953,cue,20425115
954,😇,20407835
955,🇪,20407656
956,🐟,20349434
957,🟡,20311655
958,Inosuke,20311655
959,🌱,20310060
960,🍿,20267976
961,解禁,20078944
962,解,20078944
963,禁,20078944
964,遭,20036880
965,開講,19931310
966,😣,19901690
967,妹妹,19845420
968,嘟嘟,19809900
969,📸,19728383
970,🌟,19719970
971,о,19719970
972,к,19719970
973,十年,19708550
974,쉽,19682884
975,띠,19682884
976,깐,19682884
977,怒,19598814
978,撃,19535439
979,TS,19522883
980,Jimin,19522883
981,TVBS,19455639
982,恋爱,19383640
983,麒麟,19369320
984,成龙,19369320
985,閃,19351440
986,으,19345662
987,蛙人,19260089
988,第二期,19260089
989,眾望,19260089
990,呆呆,19260089
991,黑,19227417
992,獨家,19213542
993,攻略,19198212
994,地球,19196523
995,mc,19140715
996,82,19140715
997,生日,19123503
998,華為,19078515
999,白紙,19066677
1000,領導,19027195
1001,aka,18978256
1002,題,18912220
1003,シ,18912220
1004,聽,18874940
1005,Baby,18862038
1006,影響,18832712
1007,登場,18807120
1008,탄,18802112
1009,음,18768591
1010,字幕,18750024
1011,ì,18677144
1012,報,18648390
1013,🥣,18644527
1014,Insta360,18644527
1015,高清,18584310
1016,明志,18584310
1017,明,18584310
1018,金,18397722
1019,❗,18397722
1020,豪,18136510
1021,宠,18136510
1022,奇葩,17977743
1023,情感,17950820
1024,📈,17909114
1025,Hit,17873400
1026,46,17873400
1027,結局,17703232
1028,男友,17609428
1029,博士,17602695
1030,NMIXX,17509529
1031,爷爷,17490616
1032,44,17455124
1033,ズ,17430336
1034,小S,17423854
1035,一秒,17421168
1036,🏔,17399773
1037,Allergy,17396588
1038,城寨,17391374
1039,獲得,17370396
1040,59,17346899
1041,飛,17297450
1042,🏀,17254140
1043,ấ,17249460
1044,🤓,17225143
1045,ู,17210814
1046,ส,17210814
1047,ล,17210814
1048,ง,17210814
1049,姐姐,17175405
1050,典禮,17125738
1051,🗡,17084930
1052,🏴,17084930
1053,小心,17075838
1054,真实,17073315
1055,瘋狂,17071857
1056,狂,17071857
1057,三個,17063576
1058,원,17011700
1059,십,16984664
1060,🕳,16978935
1061,首播,16948155
1062,楊,16942134
1063,面,16919368
1064,全新,16888508
1065,原來,16868930
1066,道歉,16851220
1067,正常人,16801891
1068,快速,16778673
1069,告訴,16730574
1070,鐘講,16682730
1071,製,16659360
1072,木曜,16629285
1073,發生,16620084
1074,俄羅斯,16620084
1075,員,16614969
1076,反轉,16596780
1077,預言,16583868
1078,📄,16550548
1079,喜歡,16546144
1080,號,16488297
1081,需,16478623
1082,之間,16478623
1083,😯,16353756
1084,Step,16353756
1085,式,16317780
1086,屆,16313973
1087,身份,16222545
1088,ndwtb,16126200
1089,ứ,16104692
1090,ủ,16104692
1091,開箱,16049972
1092,嫁,15999516
1093,亮點,15838230
1094,交鋒,15838230
1095,у,15775976
1096,💄,15746479
1097,李克強,15571673
1098,Rock,15560778
1099,豪門,15545580
1100,😤,15464006
1101,🎱,15464006
1102,紀錄,15405868
1103,睡覺,15405868
1104,抓,15405868
1105,第一次,15383680
1106,好聲音,15361019
1107,雲,15350808
1108,拉,15350808
1109,預測,15312992
1110,Rap,15253388
1111,奶奶,15232008
1112,視頻,15185676
1113,西蒙,15185676
1114,界,15177945
1115,現,15177945
1116,这是,15137440
1117,仔,15109038
1118,ọ,15066928
1119,ề,15066928
1120,不想,15056270
1121,背,15051120
1122,雞,14932490
1123,小時,14902229
1124,王毅,14874359
1125,空,14843614
1126,毛,14722970
1127,新聞台,14712495
1128,精華,14675157
1129,下班,14643555
1130,🥞,14552190
1131,🍫,14552190
1132,Drama,14470582
1133,999,14463718
1134,99,14463718
1135,隻,14461342
1136,歌手,14459260
1137,北京,14459070
1138,辦,14448786
1139,Gigi,14402598
1140,官方,14345163
1141,差點,14335734
1142,風,14305460
1143,哭,14274816
1144,甜,14250115
1145,上演,14247204
1146,第四,14241402
1147,消失,14200434
1148,映像,14184165
1149,幸福,14140185
1150,有點,14124534
1151,Blooper,14124473
1152,丈夫,14080038
1153,鉄,14051838
1154,行列,14051838
1155,福,14051838
1156,座,14051838
1157,ハ,14051838
1158,ろ,14051838
1159,蛊,14034826
1160,nph,14021628
1161,😝,14007858
1162,ơ,14007858
1163,變裝,13978012
1164,菜,13967883
1165,不知,13942145
1166,没,13937896
1167,成長,13920203
1168,蚊,13895815
1169,貓,13890762
1170,寵物,13890762
1171,目,13828668
1172,小朋友,13825017
